name,picture,num,star,director,introduction
致命ID / Identity / 杀人游戏  /  致命身份,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,93,8.8,詹姆斯·曼高德 James Mangold,最不可能的那个人永远是最可能的。
加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,94,8.8,戈尔·维宾斯基 Gore Verbinski,约翰尼·德普的独角戏。
天使爱美丽 / Le fabuleux destin d'Amélie Poulain / 艾蜜莉的异想世界(台)  /  天使艾米莉,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,95,8.7,让-皮埃尔·热内 Jean-Pierre Jeunet,法式小清新。 
杀人回忆 / 살인의 추억 / 谋杀回忆  /  杀手回忆录,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p657823840.jpg,96,8.8,奉俊昊 Joon-ho Bong,关于连环杀人悬案的集体回忆。
狩猎 / Jagten / 诬网(港)  /  谎言的烙印(台),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,97,9.1,托马斯·温特伯格 Thomas Vinterberg,人言可畏。
断背山 / Brokeback Mountain / 断臂山  /  BBM,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2514704949.jpg,98,8.8,李安 Ang Lee,每个人心中都有一座断背山。
请以你的名字呼唤我 / Call Me by Your Name / 以你的名字呼唤我(港 / 台) ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg,99,8.9,卢卡·瓜达尼诺 Luca Guadagnino,沉醉在电影的情感和视听氛围中无法自拔。
7号房的礼物 / 7번방의 선물 / 戆爸的礼物(港)  /  7号囚房的礼物,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,100,8.9,李焕庆 Hwan-kyeong Lee,《我是山姆》的《美丽人生》。
幽灵公主 / もののけ姫 / 魔法公主(台)  /  幽灵少女,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,101,8.9,宫崎骏 Hayao Miyazaki,人与自然的战争史诗。
小森林 夏秋篇 / リトル・フォレスト 夏・秋 / 小森食光 / 夏秋篇(台) ,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg,102,9.0,森淳一 Junichi Mori,那些静得只能听见呼吸的日子里，你明白孤独即生活。
阳光灿烂的日子 / In the Heat of the Sun,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg,103,8.8,姜文 Wen Jiang,一场华丽的意淫。
红辣椒 / パプリカ / 盗梦侦探(港 / 台) ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg,104,9.0,今敏 Satoshi Kon,梦的勾结。
第六感 / The Sixth Sense / 鬼眼(港)  /  灵异第六感(台),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,105,8.9,M·奈特·沙马兰 M. Night Shyamalan,深入内心的恐怖，出人意料的结局。
重庆森林 / 重慶森林 / Chungking Express,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,106,8.7,王家卫 Kar Wai Wong,寂寞没有期限。
入殓师 / おくりびと / 礼仪师之奏鸣曲(港)  /  礼仪师(台),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1583839859.jpg,107,8.8,泷田洋二郎 Yôjirô Takita,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
小森林 冬春篇 / リトル・フォレスト 冬・春 / 小森食光 / 冬春篇(台) ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg,108,9.0,森淳一 Junichi Mori,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
消失的爱人 / Gone Girl / 失踪的女孩  /  失踪女孩,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,109,8.7,大卫·芬奇 David Fincher,年度最佳date movie。
爱在黎明破晓前 / Before Sunrise / 情留半天(港)  /  爱在黎明破晓时(台),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg,110,8.8,理查德·林克莱特 Richard Linklater,缘分是个连绵词，最美不过一瞬。
一一 / Yi yi  /  Yi yi: A One and a Two,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg,111,9.0,杨德昌 Edward Yang,我们都曾经是一一。
唐伯虎点秋香 / 唐伯虎點秋香 / Flirting Scholar,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg,112,8.6,李力持 Lik-Chi Lee,华太师是黄霑，吴镇宇四大才子之一。
蝙蝠侠：黑暗骑士崛起 / The Dark Knight Rises / 蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg,113,8.8,克里斯托弗·诺兰 Christopher Nolan,诺兰就是保证。
侧耳倾听 / 耳をすませば / 心之谷(台)  /  梦幻街少女(港),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,114,8.9,近藤喜文 Yoshifumi Kondo,少女情怀总是诗。
超脱 / Detachment / 人间师格(台),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,115,8.9,托尼·凯耶 Tony Kaye,穷尽一生，我们要学会的，不过是彼此拥抱。
倩女幽魂 / 倩女幽魂(87版)  /  倩女幽魂：妖魔道,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,116,8.7,程小东 Siu-Tung Ching,两张绝世的脸。 
